검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,5,6학년(12~13세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"140","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","22","9791191496604","74910","911","302",
"145","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","18","9791193031513","77820","823.5","301",
"145","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","6","9791196893170","77900","909","301",
"147","요괴의 아이를 돌봐드립니다","히로시마 레이코 글 ;김지영 옮김","넥서스","2021","1","9791166830013","74830","833.6","300",
"148","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","1","9791164060481","74830","833.6","299",
"148","의사 어벤저스 :어린이 의학 동화","글: 고희정 ;그림: 조승연","가나문화콘텐츠","2021","20","9791168090835","74510","510","299",
"148","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","1","9791168415355","74810","980.2","299",
"148","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","3","9791168417786","77400","400","299",
"152","놓지 마 맞춤법","신태훈,나승훈 글·그림","김영사","2023","4","9788934926924","77700","711","298",
"152","정재승의 인간 탐구 보고서","글: 정재은,특대호 원고: 오경은","아울북(북이십일 아울북)","2019","14","9788950968519","74400","511","298",
"152","생일엔 마라탕","글: 류미정 ;그림: 손수정","밝은미래","2024","4","9788965467250","73810","813.7","298",
"155","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","296",
"155","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","10","9791193487037","74900","001","296",
"157","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","20","9791193031230","77900","909","295",
"158","놓지 마 맞춤법","신태훈,나승훈 글·그림","김영사","2023","1","9788934942641","77700","711","294",
"158","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011","50","9791164135790","77400","400","294",
"158","(흔한 남매) 세계사 탐험대","원작: 흔한남매,그림: 팀키즈","김영사","2024","4","9791173322907","77900","909","294",
"158","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","2","9791191496024","77820","823.5","294",
"158","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","19","9791193031520","77820","823.5","294",
"158","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","7","9791196893187","77900","909","294",
"164","내일은 발명왕 :본격 대결 과학발명 만화","글: 곰돌이 co. ;그림: 홍종현","Mirae N 아이세움","2011","38","9791168414976","77400","507.5","293",
"164","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","5","9791191496130","77820","823.5","293",
"164","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","15","9791191496888","77900","909","293",
"164","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","1","9791197226199","77820","823.5","293",
"168","신기한 맛 도깨비 식당","김용세,센개 그림","꿈터","2022","4","9791167390837","74810","813.7","292",
"168","의사 어벤저스 :어린이 의학 동화","글: 고희정 ;그림: 조승연","가나문화콘텐츠","2021","18","9791168090811","74510","510","292",
"168","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","292",
"168","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","19","9791193031223","77900","909","292",
"172","언제나 다정 죽집 ","우신영 글 ;서영 그림","비룡소","2024","","9788949122076","74800","813.7","291",
"172","신기한 맛 도깨비 식당","김용세,센개 그림","꿈터","2022","6","9791167391018","74810","813.7","291",
"172","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","65","9791171179138","77720","711.4","291",
"172","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","6","9791173476051","77400","400","291",
"176","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","18","9791164065530","73830","833.6","290",
"176","변호사 어벤저스 :어린이 법학 동화","글: 고희정 ;그림: 최미란","가나문화콘텐츠","2024","4","9791168091252","74810","360","290",
"178","위풍당당 여우 꼬리","손원평 글 ;만물상 그림","창비","2021","3","9788936448264","74810","813.7","289",
"178","5번 레인 ","은소홀 글 ;노인경 그림","문학동네","2020","82","9788954674638","73810","813.7","289",
"178","시간 고양이","박미연 글 ;이소연 그림","이지북","2022","2","9788957072394","74810","813.7","289",
"178","우리는 여름 :윤슬빛 장편동화 ","글쓴이: 윤슬빛 ;그린이: 남수현","책읽는곰","2024","","9791158364809","74810","813.7","289",
"178","내일은 발명왕 :본격 대결 과학발명 만화","글: 곰돌이 co. ;그림: 홍종현","Mirae N 아이세움","2011","39","9791168415621","77400","507.5","289",
"178","시간 고양이","박미연 글 ;이소연 그림","이지북","2022","5","9791193914267","74810","813.7","289",
"184","푸른 사자 와니니 :이현 장편동화","지은이: 이현 ;그린이: 오윤화","창비","2015","8","9788936443443","73810","813.7","288",
"184","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","21","9791193031247","77900","909","288",
"184","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","15","9791193487273","74900","001","288",
"184","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","16","9791198179999","77900","909","288",
"188","신기한 맛 도깨비 식당","김용세,센개 그림","꿈터","2022","2","9791167390646","74810","813.7","287",
"189","루미너스 오늘부터 데뷔합니다","김영주 글 ;하티 그림","다산북스","2024","1","9791130651026","74810","813.7","286",
"189","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","14","9791191496703","77900","909","286",
