검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,유아(6~7세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"141","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","2","9791168415188","77400","400","389",
"143","드라랄라 치과 ","윤담요 쓰고 그림","보림출판사","2021","","9788943313777","77810","813.7","388",
"143","쌀알 돌알 :벼레 그림책 ","글·그림: 벼레","사계절(사계절출판사)","2023","","9791169811576","77810","813.7","388",
"145","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","77400","400","386",
"146","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2019","1","9788950983680","74810","813.7","385",
"146","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","2","9791130622590","74810","813.7","385",
"146","두근두근 편의점 :김영진 그림책 ","지은이: 김영진","책읽는곰","2022","","9791158363178","77810","813.7","385",
"146","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","77400","400","385",
"150","똥 나오기 100초 전! ","김고은 글·그림","제제의숲","2024","","9791158733056","77810","813.7","381",
"151","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","7","9788936448752","73810","813.7","380",
"151","눈아이 :안녕달 그림책 ","지은이: 안녕달","창비","2021","","9788936455736","77810","813.7","380",
"151","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","380",
"154","에그박사의 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화","원작: 에그박사 ;그림: 홍종현","Mirae N 아이세움","2021","1","9791164137800","77490","472","379",
"155","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","11","9791168414488","77400","400","376",
"156","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","10","9791168416598","77400","400","375",
"156","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","3","9791168417786","77400","400","375",
"156","용궁 공주와 붕어빵 :송태고 그림책 ","글·그림: 송태고","노는날","2024","","9791198833228","77810","813.7","375",
"159","끝말잇기 ","김영진 글·그림","길벗어린이","2023","","9788955827255","74810","813.7","374",
"159","다판다 편의점","강효미 글 ;밤코 그림","다산북스","2025","2","9791130667546","74810","813.7","374",
"159","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","2","9791164137879","77810","691","374",
"159","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","374",
"163","변비 탐정 실룩","이나영 글 ;박소연 그림","인플루엔셜","2023","1","9791168341029","74810","813.7","372",
"163","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","4","9791190409261","74810","813.7","372",
"165","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","3","9791168415591","77030","388","370",
"165","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","4","9791168418462","77400","400","370",
"167","초밥이 옷을 사러 갔어요 ","타나카 타츠야 지음 ;권남희 옮김","토토북","2024","","9788964965115","77830","833.6","369",
"167","휘뚜루는 1학년 ","윤정 글 ;모로 그림","책읽는곰","2023","","9791158364052","74810","813.7","369",
"167","에그박사의 이건 누구 똥?!","원작: 에그박사 ;그림: 김덕영","Mirae N 아이세움","2022","1","9791168412705","77490","491","369",
"170","안녕 팝콘 ","이준혁 원작 ;강한 그림","M창비(미디어창비)","2022","","9791191248852","77810","813.7","367",
"171","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","1","9791164137176","77810","691","366",
"172","내 마음 ㅅㅅㅎ :김지영 그림책 ","글·그림: 김지영","사계절(사계절출판사)","2021","","9791160947250","77810","813.7","365",
"172","곤충 호텔 ","한라경 글 ;무운 그림","소원나무","2024","","9791193207406","74810","813.7","365",
"174","마음이 그랬어","박진아 (지은이)","노란돼지","2018","","9791159950506","77810","813.8","362",
"175","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2019","2","9788950983697","74810","813.7","360",
"175","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","12","9791194330592","77400","400","360",
"177","빵이 되고 싶은 토끼 ","마루야마 나오 지음 ;고향옥 옮김","스푼북","2020","","9791165810184","77830","833.6","359",
"177","에그박사의 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화","원작: 에그박사 ;그림: 홍종현","Mirae N 아이세움","2021","4","9791168416567","77490","472","359",
"177","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","14","9791173321610","77400","400","359",
"180","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","1","9791168415355","74810","980.2","357",
"181","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","6","9791198511577","74810","813.7","356",
"182","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","3","9791164138715","77810","691","355",
"183","백앤아 :교양이 층층 쌓이는 점프 맵","원작: 백앤아 ;그림: 돌만","샌드박스네트워크","2023","2","9791192504230","77810","031","352",
"184","슈퍼 히어로의 똥 닦는 법 ","안영은 글 ;최미란 그림","책읽는곰","2018","","9791158360931","77810","375.1","351",
"184","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","1","9791168415577","77810","810","351",
"186","고구마구마 ","지은이: 사이다","반달","2017","","9788956187372","77810","813.7","349",
"186","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2003","","9788986621136","77810","813.6","349",
"186","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","4","9791168410541","77810","691","349",
"189","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","77810","810","348",
"190","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","346",
"190","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","4","9791168417656","77030","388","346",
"192","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","15","9791173322914","77400","400","345",
"193","슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식","슈뻘맨 원작 ;류수형 그림","미래엔","2023","1","9791168415171","77400","400","344",
"194","마법천자문 :손오공의 한자 대탐험","글: 시리얼,홍거북","북이십일","2019","1","9788950976859","77720","711.4","343",
"194","고양만두 ","상자 글 ;박소영 그림","노는날","2025","","9791198833235","77810","813.7","343",
"196","착한 달걀 ","조리 존 글 ;김경희 옮김","길벗어린이","2022","","9788955826418","74800","843","342",
"196","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","1","9791164134649","74810","816.7","342",
"198","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","5","9791168415331","74810","813.5","341",
"199","우리가 케이크를 먹는 방법 :김효은 그림책 ","지은이: 김효은","문학동네","2022","","9788954699983","77810","813.7","340",
"199","3초 토끼 ","글·그림: 서영","제제의숲","2025","","9791158733438","77810","813.7","340",
"201","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","13","9791173471780","77400","400","339",
"202","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","13","9791173320101","77400","400","338",
"202","진정한 일곱 살 ","글: 허은미 ;그림: 오정택","만만한책방","2017","","9791196012656","77810","813.7","338",
"204","급식실의 달평 씨 :신민재 그림책 ","신민재","책읽는곰","2024","","9791158364960","77810","813.7","337",
"205","에그박사의 이건 누구 똥?!","원작: 에그박사 ;그림: 김덕영","Mirae N 아이세움","2022","2","9791168415324","77490","491","336",
"206","감정 호텔 :내 마음이 머무는 곳 ","리디아 브란코비치 글·그림 ;장미란 옮김","책읽는곰","2024","","9791158364519","77840","181","335",
"206","호박 목욕탕 ","글·그림: 시바타 케이코 ;옮김: 황진희","위즈덤하우스","2023","","9791192655468","77830","833.6","335",
"208","초밥이 여행을 갔어요 ","타나카 타츠야 지음 ;권남희 옮김","토토북","2024","","9788964965214","77830","833.6","333",
"209","비밀요원 레너드","글: 박설연 ;그림: 김덕영","북이십일","2019","3","9788950983703","74810","813.7","331",
